seed_idx;voxel_idx;label;similarity_coefficient;selected
3;17110;2;430.024658;1
14;18712;2;428.131805;1
8;18486;2;426.345032;1
37;15502;2;423.646942;1
5;15298;2;423.386810;1
6;17688;2;422.666779;1
39;17489;2;422.546875;1
23;24294;2;392.495178;1
2;19511;2;391.533661;1
0;19512;2;388.175659;1
11;21488;2;387.280945;1
25;18307;2;383.723969;1
15;21107;2;383.340271;1
22;16691;2;382.791260;1
13;18888;2;382.211639;1
4;23292;2;379.473877;1
24;16908;2;370.528564;1
1;17710;2;369.656189;1
27;18909;2;368.175323;1
12;15900;2;367.033264;1
10;20510;2;366.072723;0
19;19500;2;365.581726;0
16;20700;2;363.327301;0
49;19694;2;360.784180;0
43;22696;2;359.590607;0
20;19902;2;359.508118;0
48;24502;2;359.372894;0
9;16294;2;351.861389;0
33;18101;2;348.920837;0
44;16098;2;346.058105;0
35;19897;2;341.069855;0
41;23506;2;340.495361;0
18;19102;2;340.088531;0
36;19507;2;334.146210;0
30;21901;2;333.315186;0
38;17501;2;332.066742;0
28;20890;2;331.868988;0
34;23104;2;329.280029;0
40;21704;2;328.818909;0
31;23700;2;321.375946;0
21;17705;2;319.889984;0
7;21294;2;318.120483;0
26;20708;2;317.004608;0
32;21693;2;315.336151;0
45;19091;2;313.957794;0
42;17098;2;311.830322;0
17;21696;2;311.062408;0
47;23496;2;310.442932;0
29;20696;2;302.378876;0
46;18091;2;300.900208;0
