seed_idx;voxel_idx;label;similarity_coefficient;selected
25;16904;3;430.013580;1
5;17906;3;422.045135;1
6;18091;3;421.589966;1
30;22692;3;420.096527;1
26;15697;3;420.054840;1
15;18492;3;417.476868;1
43;16503;3;393.447540;1
28;23493;3;391.402863;1
4;23092;3;389.731140;1
17;21291;3;387.068542;1
0;20091;3;386.209839;1
20;23104;3;385.081573;1
23;17907;3;381.897522;1
7;17102;3;379.089752;1
39;16494;3;378.909058;1
37;22306;3;377.353638;1
18;18908;3;376.074890;1
14;16696;3;372.844116;1
11;22304;3;371.832977;1
16;21492;3;371.649628;1
44;19106;3;366.584290;0
35;22500;3;366.163971;0
9;22293;3;356.986847;0
41;18900;3;356.202332;0
3;20092;3;355.960388;0
2;23295;3;353.406891;0
46;17295;3;349.950409;0
29;19692;3;348.374695;0
48;21293;3;347.741638;0
34;19700;3;345.965973;0
8;19695;3;345.891113;0
21;22696;3;343.902405;0
1;19305;3;343.830200;0
49;18298;3;341.061676;0
13;19293;3;337.559845;0
38;22298;3;333.662994;0
27;16897;3;332.765320;0
31;19697;3;331.540405;0
32;21499;3;329.959686;0
33;21102;3;328.540253;0
47;18894;3;327.964966;0
42;21097;3;327.297211;0
45;18897;3;327.238373;0
10;18101;3;324.061615;0
24;21501;3;323.416229;0
19;16298;3;321.725555;0
22;21295;3;319.218781;0
12;20705;3;319.068176;0
40;20701;3;316.062592;0
36;19503;3;304.864532;0
