seed_idx;voxel_idx;label;similarity_coefficient;selected
35;16899;3;427.555725;1
34;22505;3;425.358368;1
37;19091;3;424.263092;1
21;17101;3;413.956451;1
3;18093;3;410.944763;1
11;20108;3;410.204956;1
2;19108;3;405.178467;1
31;17497;3;403.084991;1
25;21507;3;402.608643;1
13;23300;3;392.421661;1
20;23096;3;390.715057;1
46;18106;3;389.058655;1
30;18706;3;387.828033;1
4;17704;3;385.930115;1
12;18097;3;384.895081;1
44;18704;3;382.880676;1
29;17297;3;382.194397;1
9;19092;3;381.545288;1
7;18893;3;375.457947;1
19;17695;3;374.620605;1
39;18494;3;372.196106;0
15;17502;3;370.908142;0
10;20092;3;370.149567;0
0;20707;3;369.250244;0
33;21706;3;363.793213;0
23;18096;3;359.162506;0
24;19294;3;358.921906;0
41;19097;3;357.827759;0
27;19895;3;356.307220;0
16;19707;3;354.432831;0
49;20704;3;346.050995;0
40;19299;3;345.151154;0
1;20901;3;336.833740;0
17;18496;3;336.042450;0
6;18899;3;333.440643;0
22;22301;3;331.803375;0
28;19693;3;331.017029;0
8;20501;3;326.027069;0
36;20495;3;323.374268;0
38;21898;3;322.250061;0
14;22499;3;314.908936;0
45;21695;3;313.052948;0
26;20694;3;308.977905;0
5;19303;3;308.470978;0
18;21700;3;307.514862;0
47;18101;3;301.462830;0
43;19899;3;295.344086;0
32;21305;3;291.978851;0
42;21502;3;288.469940;0
48;19905;3;285.631653;0
