seed_idx;voxel_idx;label;similarity_coefficient;selected
5;26692;5;430.244263;1
15;14106;5;430.155426;1
39;12696;5;430.132477;1
4;19112;5;426.510010;1
7;21286;5;425.935150;1
13;26703;5;425.326447;1
21;14491;5;404.956329;1
38;16488;5;403.732605;1
0;13097;5;391.763397;1
34;18899;5;387.842133;1
23;15508;5;386.682312;1
11;18711;5;379.992340;1
1;23688;5;374.974884;1
10;17310;5;374.324005;1
29;25306;5;372.764099;1
36;21899;5;371.672943;1
42;26301;5;370.053711;1
31;19308;5;368.435120;1
32;20705;5;367.965607;1
6;24098;5;367.591827;1
41;22308;5;364.950378;0
2;23109;5;359.382355;0
12;20489;5;358.785034;0
17;19902;5;355.018341;0
8;21092;5;353.247162;0
28;14303;5;353.069092;0
14;20493;5;352.889252;0
3;24291;5;351.908936;0
48;25095;5;351.247986;0
33;24300;5;351.123322;0
40;13500;5;348.713501;0
19;22302;5;348.377045;0
35;17493;5;345.115784;0
47;23903;5;342.613159;0
18;19689;5;339.283752;0
20;14097;5;337.136627;0
27;23492;5;335.026184;0
43;21894;5;331.229279;0
45;22690;5;330.015320;0
24;22905;5;328.703827;0
30;24306;5;326.840515;0
16;15493;5;325.674683;0
37;18895;5;323.807007;0
22;20095;5;321.984161;0
44;17905;5;320.136505;0
49;16699;5;319.450745;0
46;19104;5;309.956940;0
26;15302;5;303.893646;0
25;18090;5;295.178894;0
9;14499;5;293.684021;0
