seed_idx;voxel_idx;label;similarity_coefficient;selected
9;25293;5;430.419617;1
1;13700;5;430.070679;1
13;16910;5;429.502045;1
18;16689;5;428.178375;1
7;16091;5;404.073547;1
12;16707;5;403.803680;1
2;18110;5;398.021210;1
8;22709;5;390.728271;1
6;19911;5;389.204041;1
20;23709;5;388.864807;1
16;18089;5;387.397980;1
3;22901;5;384.573456;1
35;14098;5;382.836792;1
14;16891;5;379.004761;1
5;14299;5;376.453400;1
11;23499;5;373.900818;1
25;24503;5;373.186493;1
34;14495;5;372.858276;1
21;22502;5;367.933746;1
48;19897;5;367.856995;1
24;24298;5;366.744293;0
37;18700;5;366.133240;0
26;23506;5;361.076080;0
15;21509;5;360.614014;0
40;18891;5;354.180817;0
39;20902;5;353.492371;0
30;25102;5;353.218994;0
31;21890;5;352.590515;0
28;25300;5;351.322632;0
19;25498;5;350.182617;0
29;22892;5;349.415497;0
46;24495;5;349.262604;0
10;18909;5;347.237671;0
0;20108;5;346.227020;0
17;23299;5;346.212402;0
41;18895;5;341.472107;0
27;24293;5;340.197296;0
38;22304;5;339.287231;0
42;14698;5;336.960022;0
4;14503;5;336.951660;0
36;19507;5;333.906647;0
43;22499;5;329.569092;0
22;21706;5;316.080505;0
49;17701;5;311.327087;0
33;19891;5;310.971069;0
44;19104;5;310.885132;0
45;23692;5;308.638611;0
32;22697;5;303.937653;0
23;15700;5;302.316650;0
47;16097;5;296.584167;0
