seed_idx;voxel_idx;label;similarity_coefficient;selected
25;11904;1;429.737946;1
8;23478;1;429.086456;1
6;17677;1;426.425568;1
10;11696;1;426.126129;1
3;12510;1;422.983582;1
23;27710;1;414.704803;1
11;24719;1;412.060730;1
15;26712;1;409.731781;1
29;27089;1;401.040833;1
7;15920;1;398.678436;1
1;17722;1;397.926575;1
13;19903;1;395.032776;1
9;12503;1;393.068970;1
22;15315;1;390.914062;1
26;14285;1;386.158661;1
28;12898;1;383.144714;1
5;21721;1;381.449005;1
35;15302;1;380.154510;1
0;14916;1;380.103149;1
4;12302;1;379.266937;1
2;17720;1;372.400238;0
14;25887;1;371.780975;0
18;23686;1;360.380798;0
30;26509;1;359.155945;0
39;22306;1;358.642517;0
43;14498;1;357.206665;0
20;13694;1;356.561218;0
16;24896;1;351.443176;0
21;17693;1;345.166443;0
17;24689;1;344.150604;0
36;16305;1;343.176605;0
34;14688;1;342.421509;0
24;18897;1;336.878021;0
27;13904;1;335.036591;0
42;17489;1;322.426910;0
38;14512;1;322.016144;0
49;19909;1;320.749481;0
12;17315;1;319.026398;0
41;20693;1;318.546143;0
19;16709;1;314.277374;0
46;23303;1;312.217133;0
32;22113;1;309.584930;0
47;25302;1;306.785645;0
33;24095;1;304.743713;0
31;16312;1;300.013489;0
37;22295;1;299.915466;0
44;22086;1;299.834351;0
45;20717;1;298.336975;0
48;19886;1;291.062195;0
40;17682;1;284.628296;0
