seed_idx;voxel_idx;label;similarity_coefficient;selected
15;14902;5;429.844604;1
24;25298;5;429.639099;1
0;17313;5;429.098053;1
10;23488;5;427.828949;1
33;14495;5;427.292450;1
18;22887;5;425.163025;1
38;19093;5;403.890533;1
44;24505;5;398.376740;1
5;18696;5;390.487610;1
9;19286;5;390.009186;1
7;17712;5;388.606476;1
1;18685;5;388.117676;1
20;15497;5;384.288422;1
12;19713;5;382.675171;1
6;18897;5;382.158325;1
31;21712;5;381.710144;1
2;19688;5;380.461853;1
43;20886;5;380.428925;1
16;18504;5;378.598816;1
41;15891;5;373.086334;1
30;17686;5;370.776001;0
47;15703;5;363.980164;0
27;20891;5;363.430725;0
3;16690;5;360.363220;0
8;17303;5;358.147552;0
36;18487;5;356.017944;0
29;17109;5;353.373627;0
39;16894;5;345.072845;0
25;16296;5;345.015045;0
40;17300;5;343.838959;0
35;18498;5;342.527344;0
28;23105;5;341.568420;0
37;17293;5;338.822357;0
26;18093;5;334.699738;0
19;20910;5;332.096191;0
11;17308;5;329.238831;0
23;19089;5;327.316711;0
14;19298;5;325.831604;0
17;17491;5;324.493988;0
46;17105;5;324.170776;0
21;18911;5;320.793915;0
32;20099;5;320.675140;0
45;16305;5;317.520203;0
4;18105;5;316.602386;0
48;20706;5;312.776154;0
13;21690;5;311.605255;0
34;21702;5;302.497009;0
22;21898;5;302.117554;0
42;20102;5;296.159912;0
49;23896;5;284.909149;0
