seed_idx;voxel_idx;label;similarity_coefficient;selected
4;21313;6;430.311249;1
0;24505;6;429.931763;1
25;18086;6;429.433136;1
8;15300;6;429.221130;1
11;16688;6;411.698547;1
26;19486;6;406.421570;1
28;17108;6;403.260010;1
3;15892;6;398.874786;1
39;16306;6;394.893555;1
10;19492;6;390.420197;1
31;22510;6;383.344727;1
42;23089;6;381.108917;1
17;16896;6;380.914551;1
18;21112;6;380.004120;1
24;23692;6;379.834137;1
49;20900;6;377.671234;1
32;21887;6;376.321259;1
9;15096;6;374.986816;1
47;19701;6;372.848938;1
6;15896;6;371.626831;1
30;17689;6;369.738525;0
5;15901;6;369.434387;0
14;23708;6;368.013000;0
37;22505;6;358.650421;0
7;19711;6;357.186340;0
48;18309;6;356.527252;0
12;16301;6;351.142639;0
43;23106;6;350.368652;0
38;18104;6;349.528778;0
1;19705;6;348.166443;0
2;17303;6;346.556152;0
33;21693;6;346.198059;0
23;23698;6;345.908447;0
20;21904;6;341.039398;0
44;18890;6;338.393646;0
16;23706;6;338.096375;0
46;22296;6;336.909943;0
45;20489;6;331.483185;0
35;17101;6;331.389557;0
22;21502;6;326.176575;0
40;19694;6;325.077881;0
21;18093;6;321.634186;0
19;22897;6;318.261810;0
13;17493;6;317.434814;0
41;21508;6;308.691132;0
36;17697;6;305.776978;0
34;16297;6;304.224274;0
27;18300;6;303.474304;0
15;20309;6;299.734100;0
29;18897;6;299.532013;0
