seed_idx;voxel_idx;label;similarity_coefficient;selected
0;24903;4;422.644165;1
21;14899;4;421.750763;1
1;14898;4;421.232605;1
11;19889;4;419.474365;1
4;17691;4;419.303741;1
7;24293;4;418.925415;1
47;16293;4;415.278290;1
26;15304;4;415.059906;1
25;21490;4;414.584991;1
22;16105;4;410.958374;1
13;21109;4;407.418945;1
19;15297;4;406.501648;1
23;22708;4;405.771790;1
9;15498;4;403.210388;1
27;19310;4;400.671692;1
43;23493;4;400.327789;1
6;23706;4;395.140808;1
15;16305;4;392.669678;1
14;17308;4;389.752502;1
8;15698;4;379.621094;1
10;24095;4;367.873505;0
17;18508;4;364.301117;0
3;23306;4;363.563171;0
38;22897;4;354.137390;0
12;19908;4;347.551910;0
30;16499;4;346.111633;0
44;16302;4;344.659058;0
36;23698;4;343.133972;0
45;20899;4;339.945312;0
20;22894;4;333.561066;0
49;17294;4;330.562469;0
42;21301;4;327.423401;0
2;19697;4;327.067078;0
40;19692;4;326.756134;0
41;17297;4;325.245605;0
48;16496;4;324.954865;0
24;19497;4;319.397797;0
18;19893;4;314.447998;0
33;21901;4;313.941437;0
46;19906;4;309.066040;0
5;22900;4;306.179749;0
34;19695;4;305.705902;0
37;21504;4;301.285675;0
35;20896;4;298.272430;0
32;22701;4;296.324707;0
28;19902;4;295.745605;0
39;22304;4;292.824158;0
29;21893;4;291.037781;0
16;22294;4;287.120087;0
31;18104;4;285.707886;0
