seed_idx;voxel_idx;label;similarity_coefficient;selected
12;23299;3;429.162445;1
31;19907;3;421.651947;1
23;16901;3;420.860504;1
35;16899;3;419.947418;1
17;22896;3;418.841095;1
10;18507;3;418.004761;1
4;17494;3;417.273621;1
39;21906;3;414.340851;1
18;22293;3;401.301361;1
40;21093;3;393.510132;1
15;17503;3;388.520508;1
6;17495;3;387.235199;1
30;22495;3;385.119171;1
11;19101;3;378.021973;1
0;17296;3;375.270599;1
7;21492;3;369.130707;1
34;21701;3;369.111664;1
1;22701;3;364.424438;1
20;17497;3;363.131897;1
21;21102;3;362.580475;1
9;18497;3;359.412445;0
22;19497;3;357.454712;0
25;20097;3;356.574493;0
38;19301;3;355.600677;0
14;21292;3;355.305817;0
2;20703;3;352.135803;0
46;20701;3;349.383209;0
44;18503;3;347.612366;0
28;17499;3;347.194672;0
45;18701;3;345.266785;0
37;19706;3;345.017090;0
8;17896;3;344.576935;0
49;21705;3;343.614502;0
19;18104;3;341.200256;0
41;19704;3;336.302399;0
27;18697;3;336.213348;0
33;19893;3;335.115143;0
3;18696;3;334.427826;0
43;20101;3;334.099609;0
48;22499;3;330.796112;0
5;17697;3;328.666931;0
47;21497;3;327.250000;0
42;21500;3;325.823486;0
26;20495;3;320.121277;0
32;21903;3;315.830475;0
16;21904;3;315.696899;0
13;18097;3;315.568237;0
36;20695;3;315.339508;0
24;21695;3;310.587616;0
29;18096;3;302.872742;0
