seed_idx;voxel_idx;label;similarity_coefficient;selected
18;14899;4;429.749298;1
20;24505;4;429.519928;1
7;15101;4;429.339630;1
24;19888;4;428.601074;1
9;22509;4;427.346802;1
14;17092;4;417.990875;1
22;15297;4;417.799957;1
6;20490;4;409.386017;1
1;15694;4;406.367615;1
0;16095;4;398.508392;1
15;18490;4;398.141571;1
26;18510;4;395.734772;1
10;18891;4;393.553101;1
5;16708;4;389.796997;1
2;19510;4;387.239594;1
48;21107;4;384.613647;1
17;15903;4;383.067291;1
46;15500;4;382.400787;1
31;17101;4;372.014130;1
45;16297;4;371.199585;1
44;22292;4;371.062653;0
4;17695;4;368.292206;0
32;17499;4;367.667694;0
38;24096;4;365.412201;0
13;15898;4;361.403168;0
21;19710;4;357.643250;0
12;23107;4;352.999512;0
8;21292;4;346.340393;0
29;22697;4;344.151367;0
25;23697;4;336.622833;0
43;20502;4;332.732391;0
16;20709;4;330.455444;0
34;19695;4;330.256653;0
37;23293;4;328.968781;0
23;21103;4;327.343628;0
40;17894;4;327.245209;0
19;19304;4;325.666107;0
30;23096;4;324.429840;0
11;21105;4;321.033997;0
39;20093;4;318.786041;0
42;16302;4;317.446167;0
41;22704;4;312.603119;0
36;20499;4;308.235565;0
28;19498;4;304.027802;0
35;18699;4;300.223602;0
33;21698;4;298.555695;0
27;21093;4;293.734619;0
49;17905;4;289.101562;0
47;18702;4;285.086914;0
3;23302;4;280.487152;0
