seed_idx;voxel_idx;label;similarity_coefficient;selected
40;15499;6;428.493988;1
27;23291;6;421.373169;1
4;21688;6;421.049927;1
26;15906;6;420.089813;1
24;15695;6;419.706055;1
9;22709;6;418.647278;1
3;19712;6;416.845490;1
21;16692;6;402.674255;1
12;23107;6;400.233276;1
42;19488;6;399.719879;1
13;21889;6;399.677643;1
22;23507;6;394.850769;1
2;16892;6;393.058319;1
25;23309;6;387.924866;1
1;21311;6;387.013397;1
5;22893;6;384.882935;1
39;16494;6;383.710388;1
18;17508;6;380.740692;1
16;17505;6;380.142548;1
14;21709;6;379.551117;1
28;17104;6;376.715668;0
44;18499;6;375.048096;0
11;23295;6;369.608612;0
23;23094;6;368.036957;0
30;16304;6;367.943268;0
29;24104;6;362.156219;0
8;19095;6;356.867737;0
7;20688;6;355.819122;0
0;20709;6;352.356354;0
15;18896;6;351.415314;0
31;18910;6;350.398621;0
20;20499;6;346.956543;0
17;19510;6;346.166107;0
41;20502;6;339.379761;0
34;16300;6;337.583496;0
19;23698;6;322.147858;0
10;18096;6;321.691376;0
49;16897;6;314.357697;0
38;18703;6;311.556183;0
37;21298;6;309.966766;0
46;21691;6;307.308502;0
43;17500;6;303.246704;0
6;17302;6;300.706238;0
35;22703;6;298.277161;0
36;19905;6;297.785339;0
45;19899;6;287.262512;0
32;20906;6;284.292999;0
48;22099;6;281.231293;0
47;20892;6;276.691772;0
33;22496;6;273.047089;0
