seed_idx;voxel_idx;label;similarity_coefficient;selected
3;19513;2;428.953705;1
16;24307;2;428.480255;1
10;15494;2;425.295288;1
2;17687;2;425.044434;1
11;22712;2;424.570984;1
6;17712;2;423.095886;1
13;24293;2;422.308777;1
12;18512;2;416.239807;1
4;20886;2;415.922272;1
14;15303;2;414.761841;1
9;15694;2;396.212799;1
15;15903;2;392.740234;1
21;15298;2;387.123596;1
7;15705;2;385.140594;1
40;18102;2;380.082031;1
18;17097;2;374.400146;1
8;19087;2;374.105865;1
1;23493;2;373.683929;1
34;23696;2;370.799347;1
38;23089;2;362.265991;1
20;22694;2;361.925568;0
29;17704;2;355.156586;0
0;21092;2;353.013092;0
44;23707;2;350.314117;0
5;21703;2;346.533142;0
43;23298;2;342.159332;0
35;19908;2;342.052307;0
47;18700;2;341.311157;0
30;17104;2;341.132477;0
25;17509;2;338.930267;0
17;22891;2;336.523682;0
22;21708;2;334.981689;0
32;20898;2;332.305115;0
24;20706;2;332.207062;0
28;19089;2;331.312653;0
46;18309;2;331.032715;0
27;17491;2;330.793518;0
19;21911;2;329.580170;0
33;24103;2;328.790527;0
42;21897;2;327.723724;0
23;22903;2;324.166168;0
31;21498;2;323.443756;0
41;21489;2;322.762451;0
37;19889;2;321.162842;0
39;18296;2;313.868134;0
45;19492;2;312.886932;0
48;20102;2;302.284546;0
26;19310;2;299.464081;0
36;20893;2;297.761108;0
49;16298;2;296.205994;0
