seed_idx;voxel_idx;label;similarity_coefficient;selected
4;15505;6;430.134338;1
18;16889;6;430.044342;1
26;15297;6;429.646423;1
10;15099;6;429.298370;1
5;17711;6;421.271484;1
11;21911;6;415.891144;1
3;16692;6;404.855194;1
17;22511;6;401.141266;1
13;20913;6;400.737122;1
1;17710;6;400.472626;1
0;16291;6;396.469635;1
33;20687;6;395.904175;1
8;18498;6;390.537262;1
32;20512;6;389.476379;1
16;21110;6;387.969666;1
39;19487;6;383.830383;1
31;17110;6;381.108124;1
2;17689;6;377.900299;1
19;20097;6;371.110016;1
9;15503;6;370.937836;1
20;16506;6;365.520447;0
48;24094;6;362.732330;0
22;18098;6;362.177368;0
14;17891;6;354.749237;0
7;17697;6;354.398743;0
12;18710;6;349.087524;0
42;15700;6;344.400665;0
23;15896;6;343.315857;0
34;23500;6;341.728943;0
46;22908;6;340.841675;0
29;23903;6;340.419525;0
27;18893;6;339.203583;0
24;21490;6;337.247650;0
38;22097;6;336.154480;0
15;21509;6;334.007965;0
35;19500;6;331.817993;0
30;19098;6;329.981750;0
28;17295;6;329.153442;0
36;21501;6;327.907318;0
6;19095;6;327.088806;0
41;22699;6;325.287994;0
49;20107;6;322.031158;0
43;20692;6;320.017456;0
21;22904;6;315.073761;0
40;22105;6;311.424988;0
25;16500;6;304.583588;0
37;17903;6;297.781036;0
44;20905;6;293.643219;0
45;17505;6;288.066223;0
47;16902;6;285.398590;0
