seed_idx;voxel_idx;label;similarity_coefficient;selected
23;24116;1;429.882172;1
0;13298;1;429.377014;1
9;17282;1;428.749176;1
32;14910;1;416.673248;1
28;14106;1;412.107849;1
2;17116;1;403.027008;1
19;23483;1;400.695862;1
3;25088;1;400.428375;1
1;19680;1;395.926910;1
8;14493;1;395.907959;1
16;12902;1;393.444733;1
4;19093;1;387.785858;1
26;18108;1;387.181244;1
34;19318;1;384.038971;1
6;24884;1;382.704132;1
44;14503;1;381.376648;1
7;19081;1;380.455994;1
10;26700;1;379.791412;1
5;24082;1;379.218872;1
31;19485;1;375.050140;1
33;15297;1;370.741333;0
30;16905;1;366.006744;0
47;17894;1;364.929993;0
12;23703;1;358.614410;0
13;17899;1;352.811707;0
35;20907;1;351.898743;0
14;20691;1;350.499359;0
42;16303;1;347.682831;0
43;23899;1;346.873352;0
25;20683;1;346.344391;0
45;19888;1;342.868591;0
29;22504;1;342.281433;0
11;17098;1;340.683197;0
46;21894;1;338.768951;0
22;19697;1;338.399445;0
40;15505;1;337.386322;0
18;22691;1;332.610840;0
17;23098;1;331.334137;0
27;16091;1;330.349945;0
48;21687;1;329.374878;0
15;23285;1;328.247467;0
21;16097;1;323.706329;0
20;20503;1;319.963409;0
41;19112;1;319.343384;0
38;17486;1;316.576355;0
36;24107;1;306.874878;0
24;21905;1;302.469116;0
39;18487;1;299.314270;0
49;25704;1;294.717407;0
37;20314;1;281.706390;0
