seed_idx;voxel_idx;label;similarity_coefficient;selected
8;29293;1;429.379211;1
2;11913;1;428.343201;1
16;10907;1;428.153839;1
20;26120;1;427.358704;1
5;16924;1;426.331055;1
0;21473;1;426.319702;1
12;24877;1;422.795013;1
23;11693;1;414.958099;1
27;24323;1;412.777313;1
13;11709;1;412.136597;1
15;12094;1;408.767700;1
19;29096;1;407.068451;1
1;25079;1;405.771240;1
7;10893;1;404.781433;1
25;11100;1;402.148529;1
4;17324;1;397.907898;1
21;19473;1;397.470520;1
22;16278;1;378.843597;1
9;19706;1;378.690948;1
6;18523;1;367.977722;1
3;17510;1;365.623352;0
17;13113;1;365.007416;0
18;19303;1;361.614746;0
14;18276;1;358.175842;0
28;25482;1;356.422211;0
30;16500;1;343.917633;0
31;12908;1;338.177521;0
39;24097;1;329.299713;0
41;19296;1;328.369995;0
26;25117;1;326.571716;0
33;17899;1;323.761078;0
35;27103;1;321.818146;0
45;25890;1;321.699615;0
24;15500;1;321.004028;0
32;16306;1;320.771271;0
11;19913;1;319.018768;0
34;17484;1;318.170563;0
37;25297;1;316.881134;0
10;20101;1;315.364563;0
36;15515;1;315.043976;0
46;23889;1;312.020325;0
44;13888;1;311.698273;0
42;22910;1;309.627991;0
43;13701;1;308.836304;0
29;15488;1;307.260986;0
47;22518;1;304.488739;0
40;23302;1;285.921906;0
48;18318;1;284.338806;0
49;20085;1;278.880859;0
38;14494;1;272.309967;0
